idproduto,cdprincipal,dscodigo,dsdetalhe,vlprecovenda,stativo,qtestoque,qtestoque2,qtestoque_ttl
0000000001,000004,,ARTIMANHAS DAS TREVAS - Jorge Linhares,9.0,S,0.0,0.0,0.0
0000000002,000006,7898215870081,CAMPO DE LENTILHAS - Jorge Linhares,9.0,S,0.0,0.0,0.0
0000000003,000008,,MALEDICENCIA - Jorge Linhares,9.0,S,1.0,-1.0,0.0
0000000004,000010,,CERTIFICADO - MEMBRO(CPAD),0.5,S,1.0,-1.0,0.0
0000000005,000011,,DUAS VIDAS - Jorge Linhares,9.0,S,0.0,0.0,0.0
0000000006,000012,,ESTAO FALANDO DE VOCE - Jorge Linhares,9.0,S,0.0,0.0,0.0
0000000007,000015,,PAO DE DEUS - Jorge Linhares,9.0,S,0.0,0.0,0.0
0000000008,000019,,VIAGEM A DOIS,9.0,S,0.0,0.0,0.0
0000000009,000026,,ALTAR  O,9.0,S,0.0,0.0,0.0
000000000A,000027,,SANTO E O PROFANO - Jorge Linhares,9.0,S,1.0,-1.0,0.0
000000000B,000028,,VINGANCA - Jorge Linhares,9.0,S,1.0,-1.0,0.0
000000000C,000029,,VICIOS E SUAS CONSEQUENCIAS,9.0,S,1.0,-1.0,0.0
000000000D,000030,,AMIZADE - Jorge Linhares,9.0,S,0.0,0.0,0.0
000000000E,000033,,MALICIA - Jorge Linhares,9.0,S,3.0,-3.0,0.0
000000000F,000034,,LIDERANCA - Jorge Linhares,9.0,S,0.0,0.0,0.0
000000000G,000035,,COMPETENCIA - Jorge Linhares,9.0,S,0.0,0.0,0.0
000000000H,000036,,JOSUE E O SEGREDO DA VIDA ABUNDANTE,24.6,S,0.0,0.0,0.0
000000000I,000039,,VOCE PODE SER LIVRE DA PREOCUPACAO,21.1,S,0.0,0.0,0.0
000000000J,000064,,VITORIA SOBRE A TENTACAO,39.0,S,0.0,0.0,0.0
000000000K,000075,,ESPIRITO SANTO TENHO FOME DE TI,25.9,S,0.0,0.0,0.0
000000000L,000085,9788573251937,DAMA SEU AMADO E SEU SENHOR  A,36.9,S,0.0,0.0,0.0
000000000M,000091,,CD FESTA SANTA II - COM EV NUCLEO DA FE,5.0,S,0.0,0.0,0.0
000000000N,000096,9788585685140,MALDICOES NAO QUEBRADAS,29.9,S,0.0,0.0,0.0
000000000O,000100,9798526301978,CURA DIVINA PROMESSA DE DEUS - Rui Raiol,26.9,S,3.0,-1.0,2.0
000000000P,000104,,CD O ESPIRITO SANTO - CLAUDIO CLARO,5.0,S,0.0,0.0,0.0
000000000Q,000109,,CD VIVA O AMOR - MAGNO MALTA,5.0,S,0.0,0.0,0.0
000000000R,000110,,CD CONFIA EM DEUS - EDUARDO CARDOZO,5.0,S,0.0,0.0,0.0
000000000S,000116,,CD PARAISO AZUL - BENNO CEZAR,5.0,S,0.0,0.0,0.0
000000000T,000120,,CD JESUS EM PRIMEIRO LUGAR,5.0,S,1.0,-1.0,0.0
000000000U,000122,,CD FRUTOS DA CRIACAO-DUPLO,5.0,S,0.0,0.0,0.0
000000000V,000130,,CD VIA DOLOROSA - ARTHUR E ROSALEE,5.0,S,0.0,0.0,0.0
000000000W,000131,,CD HA SE EU TIVESSE ASAS,5.0,S,0.0,0.0,0.0
000000000X,000132,,QUEM TEM MEDO DA AIDS?,29.9,S,0.0,0.0,0.0
000000000Y,000136,,CD DEUS RESOLVE TUDO SOFRER POR JESUS,5.0,S,0.0,0.0,0.0
000000000Z,000138,,CD TIRE SUA MASCARA,9.9,S,0.0,0.0,0.0
0000000010,000140,7898184700167,CD COLLECTION II - MArcos Goes,5.0,S,0.0,0.0,0.0
0000000011,000152,,CD O MELHOR DE SERGIO PIMENTA,5.0,S,0.0,0.0,0.0
0000000012,000154,,BIBLIA C HARPA LUXO - Grande,46.9,S,0.0,0.0,0.0
0000000013,000155,,CD DEUS MUDA SITUACOES,5.0,S,0.0,0.0,0.0
0000000014,000156,,BIBLIA C HARPA B VERMELHA - Peq,16.9,S,0.0,0.0,0.0
0000000015,000157,,BIBLIA C HARPA B VERMELHA - Media,19.9,S,1.0,-1.0,0.0
0000000016,000164,,CD CLAME O SANGUE,9.9,S,0.0,0.0,0.0
0000000017,000165,7899938411759,BIBLIA C HARPA CP BROCHURA - Grande,39.9,S,1.0,-1.0,0.0
0000000017,000165,7899938411766,BIBLIA C HARPA CP BROCHURA - Grande,39.9,S,1.0,-1.0,0.0
0000000018,000166,,CD PESCADOR DE HOMENS,5.0,S,0.0,0.0,0.0
0000000019,000170,,CDPB A FE - Sergio Lopes,5.0,S,0.0,0.0,0.0
000000001A,000171,,CD A FE - Sergio Lopes,5.0,S,0.0,0.0,0.0
000000001B,000172,7898153120019,CD MARQUINHOS GOMES AO VIVO,5.0,S,0.0,0.0,0.0
000000001C,000178,,CD VOU ABRACAR JESUS,5.0,S,0.0,0.0,0.0
000000001D,000181,,CD A COMECAR DE MIM - Lilian,9.9,S,0.0,0.0,0.0
000000001E,000191,,CDPB DEUS CUIDA DE MIM - KLEBER L,5.0,S,0.0,0.0,0.0
000000001F,000197,9788585685041,DIVINA REVELACAO DO INFERNO,36.9,S,1.0,-1.0,0.0
000000001G,000198,7898084970257,CDPB ALINE BARROS VOL - II,5.0,S,0.0,0.0,0.0
000000001H,000200,,CD TEMPO DE ALEGRIA - Alvaro Tito,5.0,S,0.0,0.0,0.0
000000001I,000204,,CD JAMAIS DESISTA - RAQUEL NASC,9.9,S,0.0,0.0,0.0
000000001J,000205,,CD NASCI PRA TE ADORAR,9.9,S,0.0,0.0,0.0
000000001K,000230,,VOCE ESTA PRONTO PARA O NOVO MILENIO,27.9,S,0.0,0.0,0.0
000000001L,000235,,DIZIMO UM INVESTIMENTO MISSIONARIO,8.0,S,0.0,0.0,0.0
000000001M,000255,,CD LEVANTE SEUS OLHOS - SINAL DE ALERTA,5.0,S,0.0,0.0,0.0
000000001N,000262,,SENDA DO CALVARIO,8.9,S,0.0,0.0,0.0
000000001O,000264,9788535802191,REMENDOS E ODRES(LIVRETE),2.5,S,6.0,-6.0,0.0
000000001P,000265,9788585685034,EXPERIMENTANDO DEUS ATRAV DA ORACAO,19.9,S,0.0,0.0,0.0
000000001Q,000280,,CD A MINHA VITORIA,9.9,S,0.0,0.0,0.0
000000001R,000287,9788585685089,PREPARE-SE PARA A GUERRA,44.9,S,0.0,0.0,0.0
000000001S,000297,9788585685072,TORRENTES ESPIRITUAIS,17.5,S,0.0,0.0,0.0
000000001T,000299,,CD PODER NO SANGUE - LELIA,9.9,S,0.0,0.0,0.0
000000001U,000301,9788585685157,DIVINA REVELACAO DO CEU  A,29.9,S,0.0,0.0,0.0
000000001V,000311,7897063688947,CDPB COM MUITO LOUVOR - Cassiane,5.0,S,0.0,0.0,0.0
000000001W,000312,9788588088054,ELE VEIO PARA LIBERTAR OS CATIVOS,43.9,S,0.0,0.0,0.0
000000001X,000323,,CD NAO DA PRA ESQUECER - TONI E TITO,5.0,S,0.0,0.0,0.0
000000001Y,000337,,CD O MELHOR - CONTATO VITAL,5.0,S,0.0,0.0,0.0
000000001Z,000339,,CD COM AMOR - GRUPO LUZ,9.9,S,0.0,0.0,0.0
0000000020,000341,7897595500618,CDPB NAO E O FIM - Novo Som,5.0,S,0.0,0.0,0.0
0000000021,000345,9788535800197,SEDUCAO DOS NOSSOS FILHOS,31.6,S,0.0,0.0,0.0
0000000022,000350,,JESUS NOS CINCO SACRIFICIOS DO AT,4.0,S,0.0,0.0,0.0
0000000023,000351,,CD SOBERANO - TEMPLOS,5.0,S,0.0,0.0,0.0
0000000024,000354,,CD AH EU SOU DE CRISTO,5.0,S,0.0,0.0,0.0
0000000025,000355,,MARCADOS PELA DIFERENCA,29.0,S,0.0,0.0,0.0
0000000026,000360,,CD SEMPRE JUNTOS - GERD,5.0,S,0.0,0.0,0.0
0000000027,000366,,NOVO TESTAMENTO EM QUADROS,35.0,S,0.0,0.0,0.0
0000000028,000368,,CD QUE O MUNDO POSSA VER - UNISSON,9.9,S,0.0,0.0,0.0
0000000029,000369,,CD DIGNO - VOZ REAL,5.0,S,0.0,0.0,0.0
000000002A,000392,,CD AMO VOCE VOL - 6,5.0,S,0.0,0.0,0.0
000000002B,000393,7897063695334,CD LOUVOR DE TODOS NOS 6 - COLETANEA,5.0,S,0.0,0.0,0.0
000000002C,000395,,CD PEQUENO NOME,5.0,S,0.0,0.0,0.0
000000002D,000396,9798526302067,TEMPO DE DEUS,24.9,S,0.0,0.0,0.0
000000002E,000398,7890000003988,MANUAL DO DIACONO,31.95,S,0.0,0.0,0.0
000000002F,000399,9788526304949,CURANDO AS FERIDAS QUE AFLIGEM A ALMA,38.95,S,0.0,0.0,0.0
000000002G,000400,,BIBLIA FATO OU FANTASIA  A,23.92,S,0.0,0.0,0.0
000000002H,000405,7897063689968,CDPB AMOR INCOMPARAVEL - IRMAOS NASCIM,5.0,S,0.0,0.0,0.0
000000002I,000412,,CD MISSOES URGENTES - LEVI E VILMA,5.0,S,0.0,0.0,0.0
000000002J,000413,,CD CANTA RIO 99,5.0,S,0.0,0.0,0.0
000000002K,000415,7897063678177,CD VENTOS DE AVIVAMENTO,5.0,S,0.0,0.0,0.0
000000002L,000424,9788585685102,VASO PARA A HONRA,36.9,S,0.0,0.0,0.0
000000002M,000425,,CD TROFEU TALENTO,5.0,S,0.0,0.0,0.0
000000002N,000428,,CD VIDA - O SEMEADOR,5.0,S,0.0,0.0,0.0
000000002O,000430,7898306220221,CD O ESPELHO - V  VERDADE,5.0,S,0.0,0.0,0.0
000000002P,000438,,CD ACORDA BRASIL,5.0,S,0.0,0.0,0.0
000000002Q,000442,,CDPB NATAL COM OS ANJOS,5.0,S,0.0,0.0,0.0
000000002R,000443,,CDPB A MARAVILHA DO NATAL,5.0,S,0.0,0.0,0.0
000000002S,000445,7908234002575,HARPA CRISTA - POP Grande (CPAD),19.95,S,295.0,-295.0,0.0
000000002S,000445,7908234002582,HARPA CRISTA - POP Grande (CPAD),19.95,S,295.0,-295.0,0.0
000000002S,000445,7908234002599,HARPA CRISTA - POP Grande (CPAD),19.95,S,295.0,-295.0,0.0
000000002S,000445,7908234002605,HARPA CRISTA - POP Grande (CPAD),19.95,S,295.0,-295.0,0.0
000000002S,000445,7908234002612,HARPA CRISTA - POP Grande (CPAD),19.95,S,295.0,-295.0,0.0
000000002S,000445,7908234002650,HARPA CRISTA - POP Grande (CPAD),19.95,S,295.0,-295.0,0.0
000000002S,000445,7908234002667,HARPA CRISTA - POP Grande (CPAD),19.95,S,295.0,-295.0,0.0
000000002S,000445,7908234002674,HARPA CRISTA - POP Grande (CPAD),19.95,S,295.0,-295.0,0.0
000000002S,000445,9788526313200,HARPA CRISTA - POP Grande (CPAD),19.95,S,295.0,-295.0,0.0
000000002T,000450,7897063689944,CDPB CORACOES GRATOS - VOICES,5.0,S,0.0,0.0,0.0
000000002U,000455,9788526303720,GUIA BASICO PARA INTERP DA BIBLIA,34.95,S,0.0,0.0,0.0
000000002V,000461,7890000004619,ADESIVO TP-150,1.5,S,4.0,-4.0,0.0
000000002W,000473,9788526302426,QUANDO AS MAES ORAM,42.95,S,0.0,0.0,0.0
000000002X,000476,7890000004763,PORCELANA - MINIATURA (VARIAS),3.9,S,5.0,-5.0,0.0
000000002Y,000477,7890000004770,HINARIO PARA CULTO CRISTAO -  C Musica,49.9,S,0.0,0.0,0.0
000000002Z,000499,,RELACIONAMENTOS,29.0,S,0.0,0.0,0.0
0000000030,000503,7908234002520,HARPA CRISTA - POP Media (CPAD),9.95,S,0.0,0.0,0.0
0000000030,000503,7908234002537,HARPA CRISTA - POP Media (CPAD),9.95,S,0.0,0.0,0.0
0000000030,000503,7908234002544,HARPA CRISTA - POP Media (CPAD),9.95,S,0.0,0.0,0.0
0000000030,000503,7908234002551,HARPA CRISTA - POP Media (CPAD),9.95,S,0.0,0.0,0.0
0000000030,000503,7908234002568,HARPA CRISTA - POP Media (CPAD),9.95,S,0.0,0.0,0.0
0000000030,000503,7908234002629,HARPA CRISTA - POP Media (CPAD),9.95,S,0.0,0.0,0.0
0000000030,000503,7908234002636,HARPA CRISTA - POP Media (CPAD),9.95,S,0.0,0.0,0.0
0000000030,000503,7908234002643,HARPA CRISTA - POP Media (CPAD),9.95,S,0.0,0.0,0.0
0000000030,000503,9788526313217,HARPA CRISTA - POP Media (CPAD),9.95,S,0.0,0.0,0.0
0000000031,000505,7890000005050,CD TOGETHER,5.0,S,0.0,0.0,0.0
0000000032,000509,,CD MEUS HINOS QUERIDOS 4 - L DE CARVALHO,5.0,S,0.0,0.0,0.0
0000000033,000513,,CD FANTASTICO - Canarinhos,5.0,S,0.0,0.0,0.0
0000000034,000516,9788577421022,REVITALIZANDO A IGREJA - Hernandes Dias (1480),27.9,S,0.0,0.0,0.0
