idproduto,cdprincipal,dscodigo,dsdetalhe,vlprecovenda,stativo,qtestoque,qtestoque2,qtestoque_ttl
00000001DK,039562,9788588234529,101 IDEIAS CRIATIVAS P  PROFESSORES,34.9,S,2.0,0.0,2.0
000000027N,041670,9788573676914,12 MANEIRAS DE ESTUDAR A BIBLIA SOZINHO - Vid,38.0,S,1.0,0.0,1.0
0000000392,043773,9788526308626,201 RESPOSTAS - Abraao de Almeida,49.95,S,5.0,0.0,5.0
01017V2811,016669,7908234011805,30 MANEIRAS DE UM MARIDO ABENCOAR SUA ESPOSA,22.95,S,14.0,0.0,14.0
01017V2I1M,016670,7908234011812,30 MANEIRAS DE UMA ESPOSA ABENCOAR SEU MARIDO,22.95,S,8.0,0.0,8.0
01018SMX7O,016866,9786586136944,1 PEDRO COMENTARIO EXEGETICO - Karen H Jobes,115.9,S,4.0,0.0,4.0
010196WTCH,016921,9788581321691,1 CORINTIOS - Joao Calvino,84.9,S,2.0,0.0,2.0
0101AE4X9O,017320,7908234013281,30 MANEIRAS DE UM PAI ABENCOAR SEUS FILHOS,22.95,S,16.0,0.0,16.0
0101BYCZ03,017465,9788537641170,2000 ADESIVOS DE INCENTIVO PARA EDUCADORES,39.9,S,1.0,0.0,1.0
66S00000JA,001890,9788599145500,2 CORINTIOS - Joao Calvino,77.9,S,2.0,0.0,2.0
66S00000W0,002359,9788526309692,20 EVIDENCIAS DE QUE DEUS EXISTE -Kenneth e Robert,36.95,S,4.0,0.0,4.0
66S00001JS,003194,9788524303180,105 PERGUNTAS QUE AS CRIANCAS FAZEM SOBRE DINHEIRO,26.9,S,1.0,0.0,1.0
7XV000007H,044953,9788526300934,10 MELHORES DECISOES QUE OS PAIS DEVEM TOMAR,39.95,S,2.0,0.0,2.0
7XV00000AX,045025,9788574591551,27 ROTEIRINHOS PARA ENCONTROS COM CRIANCAS,29.9,S,2.0,-1.0,1.0
P000108C2R,012255,9788524305788,151 REFLEXOES SOBRE A EDUCACAO DE FILHOS,32.9,S,1.0,0.0,1.0
VK400003GD,005178,9788599145999,10 ACUSACOES CONTRA A IGREJA MODERNA,30.9,S,2.0,0.0,2.0
VK4000048V,006217,9788561411220,30 ERROS QUE OS HOMENS COMETEM - Norma pantojas,32.9,S,2.0,0.0,2.0
VK400004U6,006993,9788580380217,10 PRINCIPIOS PODEROSOS PARA O SERVICO CRISTAO,39.9,S,1.0,0.0,1.0
VK400004U8,006995,9788527502566,12 SINAIS DA VERDADEIRA ESPIRITUALIDADE,47.9,S,1.0,0.0,1.0
VK400005A3,007571,9788527505604,3 PERGUNTAS CRUCIAIS SOBRE A BIBLIA,51.9,S,1.0,0.0,1.0
VK4000067Z,008779,9788567002279,2048 CONFLITO DE FE DO NOSSO FUTURO,29.9,S,2.0,0.0,2.0
VK400006VP,009620,9788531115417,100 MELHORES HISTORIAS DA BIBLIA - SBB,54.9,S,0.0,0.0,0.0
